,CountryName,CityName,Skill and competency of medical staff,Speed in completing examination and reports,Equipment for modern diagnosis and treatment,Accuracy and completeness in filling out reports,Friendliness and courtesy of the staff,Satisfaction with responsiveness (waitings) in medical institutions,Satisfaction with cost to you,Convenience of location for you
608,India,Rajkot,69.23,59.09,68.18,75.0,56.82,54.55,56.82,79.55
609,India,Ranchi,45.45,47.73,40.91,45.45,52.27,43.18,38.64,52.27
610,India,Shimla,75.0,75.0,65.0,75.0,70.0,70.0,70.0,75.0
611,India,Siliguri,66.67,66.67,58.33,75.0,50.0,58.33,100.0,50.0
612,India,Srinagar,37.5,32.14,32.14,32.14,30.36,26.79,39.29,42.31
613,India,Surat,73.53,67.65,63.24,69.12,64.71,63.24,63.24,70.59
614,India,Thane,50.0,56.25,68.75,62.5,56.25,62.5,43.75,75.0
615,India,Thiruvananthapuram,66.86,66.86,64.02,66.07,60.12,57.74,54.55,66.28
616,India,Thrissur,75.0,75.0,66.67,83.33,62.5,62.5,75.0,85.0
617,India,Tiruchirapalli (Trichy),85.0,85.0,80.0,80.0,81.25,100.0,70.0,93.75
618,India,"Tirunelveli, Tamil Nadu",66.67,41.67,62.5,58.33,83.33,25.0,58.33,75.0
619,India,Tirupati,91.67,83.33,83.33,91.67,91.67,50.0,83.33,100.0
620,India,Tiruppūr,75.0,65.0,65.0,87.5,85.0,81.25,70.0,85.0
621,India,Tirupur (Tiruppur),75.0,65.0,65.0,87.5,85.0,81.25,70.0,85.0
622,India,Udaipur,50.0,58.33,75.0,75.0,50.0,58.33,100.0,100.0
623,India,Vadodara,77.78,75.0,76.92,79.63,66.67,64.81,65.74,87.04
624,India,Vapi,66.67,83.33,75.0,75.0,83.33,83.33,58.33,91.67
625,India,Varanasi,71.43,67.86,82.14,75.0,67.86,71.43,67.86,82.14
626,India,Vasai,66.67,58.33,41.67,41.67,50.0,25.0,50.0,41.67
627,India,Vellore,95.0,65.0,75.0,80.0,50.0,55.0,75.0,75.0
628,India,Vijayawada,78.85,65.38,71.15,67.31,55.77,54.17,46.15,76.92
629,India,Visakhapatnam,74.14,73.28,73.21,76.72,68.75,65.52,57.14,77.59
630,India,Warangal,65.0,55.0,60.0,75.0,65.0,55.0,55.0,75.0
631,Indonesia,Bali,50.0,53.85,72.92,64.58,90.38,65.38,39.58,80.77
632,Indonesia,Balikpapan,62.5,56.25,56.25,62.5,75.0,50.0,43.75,75.0
633,Indonesia,Bandung,63.16,65.79,76.39,65.79,73.68,53.95,60.53,68.42
634,Indonesia,Batam,33.33,37.5,55.0,45.83,54.17,45.83,54.17,50.0
635,Indonesia,Bekasi,70.0,65.0,95.0,80.0,95.0,75.0,65.0,90.0
636,Indonesia,Bogor,58.33,50.0,60.0,62.5,79.17,45.83,50.0,62.5
637,Indonesia,Denpasar,37.5,54.17,58.33,45.83,90.0,70.83,62.5,75.0
638,Indonesia,Depok,56.25,50.0,62.5,56.25,75.0,56.25,50.0,81.25
639,Indonesia,Jakarta,56.59,52.13,66.28,53.08,66.92,46.73,49.23,67.69
640,Indonesia,Makassar,75.0,75.0,75.0,75.0,75.0,41.67,50.0,66.67
641,Indonesia,Malang,71.43,64.29,64.29,71.43,71.43,39.29,60.71,82.14
642,Indonesia,Medan,65.0,70.0,68.33,61.67,53.33,40.0,60.0,66.67
643,Indonesia,Semarang,50.0,55.0,70.0,50.0,80.0,35.0,65.0,55.0
644,Indonesia,Surabaya,69.44,66.67,81.94,62.5,76.39,65.28,63.89,73.61
645,Indonesia,Tangerang,85.0,90.0,90.0,75.0,95.0,75.0,70.0,85.0
646,Indonesia,Yogyakarta,83.33,80.0,83.33,75.0,83.93,53.33,56.67,75.0
647,Iran,Ahvaz,8.33,25.0,25.0,25.0,25.0,25.0,16.67,25.0
648,Iran,Arak,66.67,41.67,50.0,37.5,66.67,58.33,50.0,66.67
649,Iran,Hamadan,37.5,50.0,25.0,18.75,6.25,25.0,56.25,56.25
650,Iran,Isfahan (Esfahan),72.06,52.94,73.53,68.75,59.38,44.12,36.76,61.76
651,Iran,Karaj,42.86,32.14,50.0,45.83,41.67,30.0,32.14,39.29
652,Iran,Kerman,78.57,57.14,50.0,58.33,53.57,46.43,70.83,64.29
653,Iran,Mashhad,70.0,50.0,56.25,55.0,48.44,33.33,61.67,53.57
654,Iran,Rasht,66.67,66.67,70.83,65.0,45.83,80.0,75.0,79.17
655,Iran,Shiraz,76.79,71.43,75.0,65.38,53.57,50.0,67.86,67.86
656,Iran,Tabriz,41.67,45.0,51.67,48.33,33.33,30.0,40.0,58.33
657,Iran,Tehran,59.65,53.63,62.65,56.84,47.78,40.9,46.41,58.27
658,Iraq,An Najaf,66.67,66.67,75.0,50.0,75.0,66.67,100.0,75.0
659,Iraq,As Sulaymaniyah,50.0,46.43,55.0,37.5,54.17,46.43,57.14,57.14
660,Iraq,Baghdad,34.38,35.83,28.23,28.23,33.06,20.97,39.52,45.0
661,Iraq,Basra,45.83,41.67,50.0,45.83,45.83,35.0,54.17,55.0
662,Iraq,Erbil (Irbil),43.42,42.11,50.0,48.68,55.26,44.74,65.79,57.89
663,Ireland,Clonmel,75.0,62.5,41.67,81.25,75.0,56.25,50.0,75.0
664,Ireland,Cork,60.71,50.0,66.49,60.87,73.44,32.29,47.92,63.02
665,Ireland,Drogheda,45.83,33.33,50.0,33.33,37.5,16.67,37.5,45.83
666,Ireland,Dublin,53.82,40.26,67.69,53.96,74.81,26.67,40.41,62.04
667,Ireland,Ennis,68.75,37.5,43.75,43.75,68.75,25.0,62.5,50.0
668,Ireland,Galway,46.21,37.12,67.42,56.45,68.75,23.48,35.61,59.85
669,Ireland,Kilkenny,75.0,75.0,75.0,81.25,81.25,43.75,56.25,93.75
670,Ireland,Limerick,45.83,37.5,70.45,47.73,68.75,39.58,56.82,66.67
671,Ireland,Mullingar,91.67,75.0,83.33,91.67,91.67,58.33,91.67,100.0
672,Ireland,Portlaoise,25.0,8.33,33.33,0.0,16.67,0.0,50.0,33.33
673,Ireland,Sligo,58.33,50.0,83.33,58.33,75.0,50.0,50.0,66.67
674,Ireland,Tralee,80.0,40.0,75.0,60.0,90.0,20.0,45.0,85.0
675,Ireland,Waterford,50.0,58.33,62.5,50.0,83.33,16.67,66.67,58.33
676,Ireland,Wexford,45.83,20.0,58.33,30.0,66.67,18.75,18.75,85.0
677,Isle Of Man,Douglas,70.83,68.75,66.67,66.67,84.09,75.0,88.64,83.33
678,Israel,Ashdod,68.75,81.25,81.25,62.5,56.25,50.0,56.25,75.0
679,Israel,Ashkelon,81.25,87.5,93.75,75.0,81.25,68.75,87.5,75.0
680,Israel,Bat Yam,81.25,87.5,81.25,68.75,50.0,56.25,75.0,75.0
681,Israel,Beersheba,75.0,54.17,91.67,66.67,54.17,20.83,83.33,79.17
682,Israel,Haifa,82.14,72.92,90.97,81.43,66.67,43.06,74.31,82.64
683,Israel,Herzliya,75.0,75.0,66.67,65.62,72.22,61.11,66.67,72.22
684,Israel,Holon,80.0,60.0,80.0,81.25,85.0,30.0,70.0,80.0
685,Israel,Jerusalem,79.03,70.31,86.21,76.67,55.65,50.0,74.19,68.33
686,Israel,Netanya,83.33,88.89,85.71,77.78,77.78,63.89,88.89,88.89
687,Israel,Petah Tikva,62.5,68.75,100.0,62.5,43.75,37.5,81.25,93.75
688,Israel,Ramat Gan,72.5,75.0,92.5,82.5,72.5,47.5,80.0,70.0
689,Israel,Rehovot,62.5,71.88,84.38,68.75,62.5,34.38,68.75,93.75
690,Israel,Rishon Leziyyon,85.71,75.0,85.71,82.14,71.43,57.14,78.57,89.29
691,Israel,Tel Aviv-Yafo,83.8,70.6,90.65,77.07,68.21,50.54,74.47,80.5
692,Italy,Agrigento,50.0,33.33,50.0,58.33,33.33,25.0,41.67,41.67
693,Italy,Alessandria,75.0,50.0,65.0,75.0,55.0,30.0,35.0,65.0
694,Italy,Anzio (Rome),83.33,75.0,83.33,75.0,83.33,66.67,91.67,83.33
695,Italy,Aosta,91.67,83.33,91.67,83.33,91.67,66.67,83.33,83.33
696,Italy,Arezzo,66.67,50.0,75.0,66.67,50.0,75.0,41.67,66.67
697,Italy,Bari,63.33,38.33,65.0,67.86,46.67,23.21,50.0,55.36
698,Italy,Belluno,58.33,41.67,41.67,50.0,41.67,33.33,41.67,25.0
699,Italy,Bergamo,72.06,66.18,85.29,72.06,54.41,42.65,57.35,75.0
700,Italy,Biella,56.25,66.67,91.67,43.75,68.75,66.67,68.75,83.33
701,Italy,Bologna,84.38,71.09,89.06,77.42,69.35,53.91,84.38,82.03
702,Italy,Bolzano-Bozen,72.5,62.5,90.0,75.0,80.0,65.0,80.0,85.0
703,Italy,Brescia,88.64,64.77,97.62,84.52,72.73,54.55,75.0,72.73
704,Italy,Cagliari,81.67,55.0,81.67,75.0,61.67,28.33,75.0,78.33
705,Italy,Caserta,41.67,50.0,58.33,41.67,33.33,33.33,16.67,50.0
706,Italy,Catania,58.33,31.25,85.42,56.25,59.09,37.5,68.75,70.45
707,Italy,Catanzaro,37.5,0.0,25.0,37.5,31.25,6.25,37.5,12.5
708,Italy,Como,50.0,52.5,90.0,65.0,52.5,47.5,66.67,72.5
709,Italy,Cosenza,29.17,20.83,16.67,25.0,33.33,4.17,20.83,37.5
710,Italy,Crema,56.25,56.25,56.25,75.0,75.0,56.25,50.0,62.5
711,Italy,Cuneo,83.33,33.33,100.0,75.0,58.33,16.67,66.67,58.33
712,Italy,Ferrara,83.33,41.67,75.0,80.0,91.67,54.17,66.67,62.5
713,Italy,Florence,73.39,49.19,81.67,72.41,71.77,48.39,66.67,72.58
714,Italy,Genoa,85.19,57.41,81.25,71.3,69.44,38.89,78.7,73.15
715,Italy,La Spezia,100.0,75.0,87.5,93.75,81.25,56.25,93.75,100.0
716,Italy,Lecce,83.33,70.83,80.0,79.17,83.33,58.33,70.83,83.33
717,Italy,Lecco,93.75,81.25,87.5,81.25,75.0,50.0,81.25,93.75
718,Italy,Livorno,62.5,56.25,56.25,56.25,37.5,37.5,56.25,62.5
719,Italy,Lucca,91.67,75.0,100.0,100.0,91.67,75.0,75.0,100.0
720,Italy,Mantova,75.0,50.0,83.33,66.67,91.67,50.0,66.67,58.33
721,Italy,Mestre,83.33,33.33,83.33,83.33,58.33,25.0,50.0,91.67
722,Italy,Milan,80.25,62.58,84.94,77.56,68.27,46.34,74.2,80.13
723,Italy,Modena,92.86,73.08,89.29,82.69,78.85,57.14,73.21,89.29
724,Italy,Monza,79.17,62.5,70.83,66.67,70.83,58.33,54.17,79.17
725,Italy,Naples,68.97,37.93,61.61,63.39,61.61,43.1,65.52,64.66
726,Italy,Novara,75.0,83.33,100.0,91.67,83.33,66.67,83.33,91.67
727,Italy,Padova,81.94,62.5,87.5,75.0,68.06,51.39,75.0,76.47
728,Italy,Palermo,73.75,43.75,77.63,63.16,56.25,27.5,71.05,71.25
729,Italy,Parma,65.38,53.57,69.64,73.21,76.79,42.86,64.29,75.0
730,Italy,Pavia,81.25,50.0,87.5,81.25,81.25,25.0,68.75,62.5
731,Italy,Perugia,66.67,50.0,75.0,66.67,58.33,50.0,60.0,45.0
732,Italy,Pescara,60.71,46.43,53.57,67.86,57.14,37.5,60.71,67.86
733,Italy,Piacenza,55.0,60.0,66.67,55.0,70.0,50.0,65.0,60.0
734,Italy,Pisa,83.33,63.89,78.12,71.88,63.89,50.0,69.44,72.22
735,Italy,Pistoia,56.25,50.0,62.5,81.25,56.25,50.0,93.75,75.0
736,Italy,Pordenone,85.0,65.0,80.0,91.67,72.5,37.5,61.11,95.0
737,Italy,Ragusa,41.67,33.33,58.33,50.0,41.67,33.33,41.67,66.67
738,Italy,Ravenna,71.43,82.14,78.57,75.0,64.29,50.0,62.5,82.14
739,Italy,Reggio Di Calabria,29.17,33.33,37.5,30.0,30.0,15.0,50.0,40.0
740,Italy,Reggio Nell'emilia,68.75,50.0,96.88,75.0,71.88,31.25,62.5,89.29
741,Italy,Rimini,100.0,79.17,95.83,83.33,87.5,75.0,95.83,79.17
742,Italy,Rome,70.97,47.88,71.4,65.27,57.42,30.77,66.16,65.0
743,Italy,Salerno,41.67,8.33,83.33,58.33,50.0,8.33,83.33,87.5
744,Italy,Siena,80.0,75.0,85.0,75.0,50.0,60.0,70.0,90.0
745,Italy,Siracusa,50.0,41.67,50.0,41.67,50.0,50.0,41.67,41.67
746,Italy,Trento,76.67,63.33,84.62,78.33,64.29,53.33,76.67,85.0
747,Italy,Treviso,75.0,68.75,89.58,81.25,75.0,54.17,70.83,91.67
748,Italy,Trieste,78.57,63.39,81.25,71.43,64.29,50.89,68.75,75.89
749,Italy,Turin,76.06,49.29,78.73,76.45,67.5,37.68,70.0,75.36
750,Italy,Udine,75.0,53.57,60.71,71.15,75.0,40.38,64.29,71.15
751,Italy,Varese,62.5,45.0,72.5,52.5,45.0,32.5,50.0,62.5
752,Italy,Venice,77.08,50.0,79.17,77.08,66.67,64.58,65.91,68.75
753,Italy,Verona,71.05,52.63,88.24,80.88,70.83,36.84,73.61,80.56
754,Italy,Vicenza,86.11,77.78,91.67,80.56,63.89,52.78,88.89,84.38
755,Ivory Coast,Abidjan,34.38,46.88,31.25,40.62,37.5,37.5,37.5,50.0
756,Jamaica,Kingston,64.0,49.04,52.88,59.0,62.5,29.81,39.42,60.58
757,Jamaica,Mandeville,58.33,33.33,33.33,66.67,41.67,33.33,58.33,66.67
758,Jamaica,May Pen,33.33,41.67,25.0,50.0,50.0,33.33,75.0,75.0
759,Japan,Chiba,83.33,83.33,66.67,75.0,83.33,58.33,75.0,91.67
760,Japan,Fukuoka,70.0,80.0,85.0,75.0,85.0,75.0,80.0,90.0
761,Japan,Kobe,85.0,95.0,100.0,90.0,95.0,80.0,70.0,95.0
762,Japan,Kyoto,75.0,93.75,93.75,87.5,93.75,75.0,75.0,81.25
763,Japan,Nagoya,85.71,89.29,87.5,85.71,81.25,81.25,81.25,96.88
764,Japan,Osaka,78.12,90.0,96.43,81.67,83.33,78.57,70.0,75.0
765,Japan,Shizuoka,87.5,87.5,81.25,87.5,93.75,68.75,93.75,66.67
766,Japan,Tokyo,80.28,82.8,84.58,79.67,86.57,72.66,75.45,81.14
767,Japan,Tsukuba,66.67,50.0,75.0,75.0,66.67,41.67,58.33,66.67
768,Japan,Yokohama,80.56,77.78,88.89,86.11,86.11,63.89,78.12,80.56
769,Jersey,Saint Helier,47.92,29.17,45.83,47.92,77.08,39.58,58.33,81.25
770,Jordan,Amman,71.74,69.18,75.65,67.83,67.03,56.92,51.54,73.7
771,Kazakhstan,Almaty,37.96,49.07,51.42,41.35,46.23,33.33,50.94,68.4
772,Kazakhstan,Astana (Nur-Sultan),65.83,69.52,73.81,67.07,63.92,60.78,64.45,76.16
773,Kenya,Mombasa,90.0,85.0,85.0,90.0,95.0,75.0,68.75,93.75
774,Kenya,Nairobi,61.96,57.69,66.67,68.46,68.85,49.24,57.2,73.88
775,Kenya,Nakuru,43.75,25.0,56.25,62.5,37.5,37.5,62.5,75.0
776,Kosovo (Disputed Territory),Pristina,73.53,61.76,58.82,64.71,63.24,44.12,64.71,85.29
777,Kuwait,Al-farwaniyah,75.0,66.67,83.33,58.33,58.33,50.0,83.33,75.0
778,Kuwait,As-salimiyah,37.5,50.0,75.0,56.25,18.75,37.5,75.0,87.5
779,Kuwait,Kuwait City,52.83,62.26,75.49,54.81,54.41,50.46,57.21,72.6
780,Kuwait,Salmiya,50.0,66.67,91.67,50.0,41.67,58.33,75.0,91.67
781,Kyrgyzstan,Bishkek,52.5,52.27,30.0,52.27,47.73,40.91,63.64,68.18
782,Laos,Vientiane,14.29,25.0,39.29,21.43,50.0,14.29,50.0,39.29
783,Latvia,Cesis,62.5,68.75,75.0,75.0,68.75,43.75,81.25,62.5
784,Latvia,Daugavpils,79.17,83.33,75.0,75.0,79.17,54.17,70.83,87.5
785,Latvia,Jurmala,85.0,70.0,75.0,75.0,90.0,70.0,75.0,100.0
786,Latvia,Liepaja,75.0,58.33,66.67,66.67,62.5,41.67,37.5,62.5
787,Latvia,Riga,66.99,60.54,70.71,62.62,60.29,43.14,55.58,78.19
788,Latvia,Valmiera,91.67,83.33,100.0,75.0,83.33,50.0,75.0,100.0
789,Latvia,Ventspils,50.0,68.75,87.5,50.0,37.5,37.5,50.0,68.75
790,Lebanon,Beirut,78.5,75.25,80.15,75.52,73.48,57.5,34.34,77.3
791,Lebanon,Tripoli,53.57,50.0,50.0,50.0,39.29,21.43,17.86,42.86
792,Liberia,Monrovia,43.75,31.25,0.0,33.33,50.0,41.67,50.0,50.0
793,Libya,Benghazi,25.0,31.25,16.67,56.25,31.25,6.25,68.75,37.5
794,Libya,Tripoli,38.64,38.64,47.73,34.09,47.5,25.0,61.36,43.18
795,Lithuania,Alytus,75.0,75.0,75.0,75.0,75.0,68.75,75.0,93.75
796,Lithuania,Kaunas,80.36,66.67,83.33,69.51,65.85,52.44,80.49,89.29
797,Lithuania,Klaipeda,71.67,66.67,75.0,73.21,66.67,65.0,80.0,75.0
798,Lithuania,Siauliai,45.0,50.0,75.0,50.0,45.0,35.0,95.0,75.0
799,Lithuania,Vilnius,73.15,73.78,83.86,73.36,66.36,57.01,77.47,81.4
800,Luxembourg,Luxembourg,69.51,79.27,84.87,71.88,68.9,66.46,70.51,82.93
801,Macao,Macao,40.62,50.0,42.86,39.29,43.75,42.86,66.67,53.12
802,Madagascar,Antananarivo,41.67,41.67,36.11,25.0,41.67,38.89,44.44,38.89
803,Malaysia,George Town,81.94,77.78,86.11,77.78,75.0,75.0,70.83,77.78
804,Malaysia,Johor Bahru,57.69,55.77,69.64,69.64,58.93,41.07,73.21,64.29
805,Malaysia,Klang,62.5,50.0,65.0,66.67,54.17,29.17,85.0,66.67
806,Malaysia,Kota Kinabalu,70.0,65.0,75.0,72.22,80.0,55.0,57.5,70.0
807,Malaysia,Kuala Lumpur,70.09,65.92,80.77,71.9,69.9,55.93,59.71,78.71
808,Malaysia,Kuala Terengganu,50.0,25.0,41.67,33.33,25.0,16.67,50.0,50.0
809,Malaysia,Kuching,82.5,67.5,87.5,77.5,82.5,65.0,80.0,82.5
810,Malaysia,Malacca,58.33,41.67,66.67,83.33,66.67,33.33,100.0,33.33
811,Malaysia,Penang,83.33,82.29,91.3,79.17,85.42,67.71,66.67,85.42
812,Malaysia,Petaling Jaya,78.33,73.21,83.33,71.43,68.33,58.33,51.67,76.67
813,Malaysia,Selangor,75.0,66.67,75.0,75.0,83.33,66.67,58.33,91.67
814,Malaysia,Seremban,62.5,75.0,93.75,87.5,75.0,56.25,93.75,93.75
815,Malaysia,Shah Alam,67.86,57.14,89.29,60.71,64.29,39.29,64.29,57.14
816,Malaysia,Subang Jaya,80.0,87.5,80.0,75.0,75.0,65.0,45.0,95.0
817,Maldives,Maldives,38.89,41.67,37.5,47.22,36.11,20.83,41.67,59.72
818,Maldives,Male,38.89,41.67,37.5,47.22,36.11,20.83,41.67,59.72
819,Mali,Bamako,8.33,8.33,16.67,8.33,25.0,16.67,16.67,50.0
820,Malta,Birkirkara,56.25,50.0,56.25,50.0,68.75,37.5,75.0,68.75
821,Malta,Gozo,50.0,50.0,50.0,50.0,58.33,41.67,58.33,58.33
822,Malta,Gzira,10.71,10.71,14.29,10.71,10.71,7.14,21.43,25.0
823,Malta,Mosta,75.0,43.75,75.0,62.5,68.75,37.5,75.0,81.25
824,Malta,Msida,55.0,50.0,65.0,55.0,40.0,30.0,70.0,55.0
825,Malta,Sliema,53.33,55.0,58.33,46.67,50.0,51.67,40.0,53.33
826,Malta,St. Julians (San Ġiljan),58.33,58.33,45.83,50.0,58.33,45.83,50.0,50.0
827,Malta,Valletta,46.15,23.08,55.77,50.0,38.46,19.23,59.62,59.09
828,Mauritania,Nouakchott,56.25,50.0,25.0,50.0,62.5,18.75,66.67,25.0
829,Mauritius,Curepipe,93.75,75.0,87.5,81.25,81.25,81.25,75.0,100.0
830,Mauritius,Port Louis,58.33,44.44,61.11,58.33,56.25,40.62,63.89,63.89
831,Mauritius,Vacoas,66.67,31.25,58.33,31.25,0.0,0.0,56.25,68.75
832,Mexico,Acapulco,59.38,46.88,71.43,57.14,53.57,32.14,78.57,78.57
833,Mexico,Aguascalientes,78.12,76.56,73.44,68.33,81.25,70.31,80.0,87.5
834,Mexico,Ajijic,89.29,92.86,80.0,89.47,98.68,88.75,92.86,84.52
835,Mexico,Apodaca,56.25,43.75,62.5,50.0,68.75,31.25,50.0,68.75
836,Mexico,"Cabo San Lucas, Baja California Sur",75.0,66.67,66.67,58.33,91.67,66.67,75.0,100.0
837,Mexico,Cancun,70.45,62.5,82.95,77.38,76.14,57.14,79.76,86.36
838,Mexico,Celaya,64.29,46.43,71.43,70.83,39.29,28.57,71.43,64.29
839,Mexico,Chapala,93.75,93.75,81.25,87.5,100.0,83.33,93.75,87.5
840,Mexico,Chihuahua,78.57,50.0,91.67,78.57,71.43,42.86,82.14,82.14
841,Mexico,Ciudad Juarez,53.57,46.43,78.57,67.86,64.29,46.43,60.71,75.0
842,Mexico,Cozumel,62.5,56.25,62.5,62.5,75.0,62.5,87.5,100.0
843,Mexico,Cuernavaca,71.43,46.43,45.83,64.29,53.57,39.29,67.86,71.43
844,Mexico,Culiacan,68.75,34.38,71.88,71.88,43.75,21.88,81.25,68.75
845,Mexico,Durango,65.0,55.0,68.75,55.0,75.0,55.0,75.0,60.0
846,Mexico,Ecatepec,37.5,25.0,56.25,31.25,12.5,6.25,43.75,50.0
847,Mexico,Ensenada,97.22,94.44,90.62,93.75,96.88,83.33,94.44,97.22
848,Mexico,Guadalajara,83.67,79.79,85.67,81.08,79.11,70.61,75.34,84.67
849,Mexico,Guanajuato,57.14,64.29,66.67,60.71,62.5,46.43,64.29,57.14
850,Mexico,Hermosillo,78.33,65.0,76.79,78.33,86.67,51.79,80.0,78.33
851,Mexico,La Paz,80.56,72.22,81.25,71.88,75.0,69.44,86.11,87.5
852,Mexico,Leon,65.0,43.75,90.0,75.0,65.0,45.0,90.0,90.0
853,Mexico,Mazatlan,90.38,76.92,89.58,80.77,86.54,76.92,75.0,86.54
854,Mexico,Merida,82.89,78.95,87.5,77.78,88.24,68.42,82.89,80.26
855,Mexico,Mexicali,75.0,57.81,76.67,60.71,68.75,46.88,76.56,78.12
856,Mexico,Mexico City,73.06,59.03,74.02,66.0,60.71,52.6,63.24,75.16
857,Mexico,Monterrey,77.19,66.67,71.93,73.25,73.68,62.05,57.46,80.7
858,Mexico,Morelia,75.0,75.0,91.67,87.5,80.0,62.5,87.5,75.0
859,Mexico,Naucalpan,83.33,75.0,100.0,83.33,50.0,50.0,91.67,100.0
860,Mexico,Oaxaca de Juarez,81.25,68.75,50.0,75.0,87.5,75.0,87.5,87.5
861,Mexico,Playa del Carmen,75.0,67.86,85.71,75.0,71.43,64.29,78.57,82.14
862,Mexico,Puebla,76.14,61.36,77.38,66.25,66.67,58.33,64.29,87.5
863,Mexico,Puerto Escondido,58.33,83.33,58.33,58.33,66.67,58.33,58.33,83.33
864,Mexico,Puerto Vallarta,89.58,93.48,88.64,80.95,96.88,92.05,82.29,98.96
865,Mexico,Queretaro,79.81,71.15,79.81,79.0,78.85,66.35,72.12,82.69
866,Mexico,Saltillo,81.25,81.25,83.33,87.5,87.5,81.25,87.5,87.5
867,Mexico,San Luis Potosi,55.56,47.22,63.89,61.11,58.33,56.25,69.44,72.22
868,Mexico,San Miguel de Allende,80.36,75.0,80.36,78.85,78.57,66.07,89.29,89.29
869,Mexico,San Pedro Garza Garcia,100.0,90.0,100.0,95.0,95.0,90.0,75.0,100.0
870,Mexico,Tampico,66.67,58.33,75.0,70.0,58.33,50.0,70.83,75.0
871,Mexico,Tepic,75.0,75.0,75.0,83.33,83.33,66.67,66.67,83.33
872,Mexico,Tijuana,84.21,77.5,72.06,73.53,77.63,55.56,76.19,75.0
873,Mexico,Toluca,71.43,50.0,60.71,50.0,60.71,50.0,85.71,67.86
874,Mexico,Torreon,85.0,70.0,87.5,65.0,65.0,55.0,85.0,85.0
875,Mexico,Tulum,50.0,68.75,50.0,43.75,75.0,75.0,62.5,56.25
876,Mexico,Tuxtla Gutierrez,68.75,56.25,100.0,87.5,68.75,56.25,93.75,93.75
877,Mexico,Veracruz,81.25,62.5,75.0,81.25,56.25,58.33,87.5,87.5
878,Mexico,Villahermosa,50.0,50.0,50.0,41.67,45.83,41.67,37.5,58.33
879,Mexico,"Xalapa, Veracruz",68.75,43.75,56.25,68.75,56.25,43.75,75.0,75.0
880,Mexico,Zacatecas,66.67,62.5,87.5,70.83,83.33,33.33,79.17,62.5
881,Mexico,Zapopan,93.75,91.67,93.75,95.83,91.67,87.5,83.33,97.92
882,Moldova,Chisinau,45.0,50.83,39.66,51.67,43.55,34.68,63.71,66.13
883,Monaco,Monaco,85.0,75.0,80.0,70.0,60.0,70.0,75.0,85.0
884,Mongolia,Nalaikh (Nalayh),50.0,62.5,50.0,50.0,62.5,50.0,100.0,75.0
885,Mongolia,Ulaanbaatar,47.5,52.5,40.79,40.79,47.5,26.25,50.0,54.17
886,Montenegro,Budva,83.33,75.0,62.5,66.67,75.0,75.0,83.33,83.33
887,Montenegro,Podgorica,28.26,23.91,40.22,38.04,37.5,22.73,64.77,58.7
888,Morocco,Agadir,56.82,50.0,47.92,46.88,47.73,47.73,37.5,50.0
889,Morocco,Casablanca,47.13,41.67,43.53,41.81,44.58,32.92,46.49,56.58
890,Morocco,Fes (Fez),71.88,60.71,75.0,67.86,67.86,32.14,60.71,78.57
891,Morocco,Marrakech,58.33,37.5,45.83,57.5,40.91,25.0,39.58,47.73
892,Morocco,Meknes,77.27,79.55,79.55,75.0,86.36,58.33,77.27,84.09
893,Morocco,Oujda,70.0,55.0,65.0,45.0,50.0,25.0,45.0,55.0
894,Morocco,Rabat,50.93,51.92,59.0,56.0,52.78,41.35,45.37,59.26
895,Morocco,Tangier,16.07,21.15,35.71,25.0,17.86,16.07,28.57,39.29
896,Morocco,Tetouan,25.0,35.0,20.0,45.0,20.0,10.0,50.0,50.0
897,Mozambique,Maputo,41.67,52.08,39.58,50.0,47.92,35.42,52.08,52.08
898,Myanmar,Yangon,46.67,48.21,42.86,53.33,58.33,40.0,46.43,45.0
899,Namibia,Windhoek,73.21,65.18,77.68,62.5,60.71,47.32,57.41,74.11
900,Nepal,Butwal,75.0,16.67,75.0,58.33,41.67,58.33,58.33,75.0
901,Nepal,Kathmandu,54.17,53.36,58.33,57.94,60.82,45.77,51.52,68.46
902,Nepal,Pokhara,75.0,70.0,50.0,70.0,90.0,55.0,50.0,85.0
903,Netherlands,'s-Hertogenbosch,87.5,92.5,92.5,77.5,87.5,85.0,90.0,92.5
904,Netherlands,Alkmaar,87.5,87.5,100.0,87.5,93.75,81.25,56.25,93.75
905,Netherlands,Almere,66.67,77.78,97.22,65.62,86.11,66.67,58.33,83.33
906,Netherlands,Amersfoort,93.75,81.25,100.0,90.62,90.62,64.29,84.38,93.75
907,Netherlands,Amstelveen,81.25,62.5,93.75,87.5,81.25,75.0,62.5,100.0
908,Netherlands,Amsterdam,71.91,67.88,88.96,72.89,75.94,61.72,58.07,80.37
909,Netherlands,Arnhem,72.5,69.44,95.0,77.5,72.5,60.0,72.5,90.0
910,Netherlands,Best,92.11,93.42,89.47,94.74,85.53,88.89,77.63,93.42
911,Netherlands,Breda,86.11,77.78,100.0,83.33,86.11,72.22,87.5,86.11
912,Netherlands,Delft,71.43,82.14,92.86,71.43,85.71,82.14,89.29,92.86
913,Netherlands,Deventer,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.67
914,Netherlands,Dordrecht,75.0,83.33,100.0,75.0,91.67,66.67,75.0,66.67
915,Netherlands,Eindhoven,76.22,71.34,90.38,79.49,85.37,68.29,68.9,88.41
